LANGUAGE,English,Czech,Comment
STRM_M10v35,,"... ze mě udělali desátníka a skončil, jako velitel hlídky a Muday je stále můj zaměstnavatel.\nSummers však říkal, že kdykoliv bych si to rozmyslel, nemám váhat.",jason
STRM_M10v36,"Mother fucker... the whole Muday.\nWat a second... however you should also fly to America, don't you?","Krypl, zkurvenej... celej Muday.\nPočkej, ale vždyť ty jsi měl taky letět do Ameriky, ne?",jack
STRM_M10v37,"Right. Dick, hah? That they've let us here.","Jo. Zmrdi, viď? Že nás tu nechali.",jason
STRM_M10v38,,"To víš. V Pentagonu si teď koušou nehty, když jsme to na Everonu tak dokonale posrali.\nNechápu, jak tam ti lidé mohou bejt s Rusákama spokojení?",mike
STRM_M10v39,,"A ty tomu fakt věříš? Nevěř všemu, co říkaj ta zasraná média!\nVážně si myslíš, že někdo může bejt spokojenej s totalitním režimem?",jack
STRM_M10v40,"Shut up, you fuckers. Something is driving to us.","Ty vole, sklapněte, něco sem jede.",jason
STRM_M10v41,"Fuck, it will have Muday.\nWe're fucked. Dammit, Jason, you've just told, you've took care of it!","Kurva, to bude Muday.\nA jsme v píči. Kurva, Jasone, vždyť jsi říkal, žes to zařídil!",mike
STRM_M10v42,,"Ne, ne, ne, seďte, falešný poplach.\nTo je seržant Hatton. Skvělej chlap.",jason


STRM_M10v43,"Hello, guys.","Zdravím, chlapi.",hatton
STRM_M10v44,Sir.,Pane.,all three
STRM_M10v45,"That's good, fuck with salutations.\nCorporal Twombly, what is the deal between you and Bill now? When he guards instea of you again?","Dobrý, serte na salutace.\nDesátníku, Twombly, tak na čem jste se s Billym dohodli tentokrát, že hlídá opět jeho četa a ne vaše?",hatton
STRM_M10v46,"Right, better don't know that, sir.","No, to radši nechtějte vědět, pane.",jason
STRM_M10v47,,"Pánové, máte štěstí, že jsem tu opět já.\nVíte, jaký malér byste měl, kdyby sem místo mě přijel poručík Muday a viděl vás tady, jak děláte hovno, Jasone?",hatton
STRM_M10v48,"Ehm... I do not want to think about, sir.","Ehm... nechci radši domýšlet, pane.",jason
STRM_M10v49,"Good choice.\nDon't e angry with me, but it would be better to leave this discussing circle.","Správná volba.\nNezlobte se, chlapi, ale budu muset tady ten váš kroužek rozpustit.",hatton
STRM_M10v50,"But, sir.","Ale, pane.",all three
STRM_M10v51,"Don't sa but. End of discussion.\nJason, call Billy and go to schift him. If Muday arrives in here, it's going to be bad.","Žádné ale. Konec diskuze.\nJasone, dejte vědět Billymu a běžte ho vystřídat. Jestli sem přijede Muday, bude zle.",hatton

STRM_M10v52,"Four, this is one. What's your status?","Čtyřko, tady jednička. Jak jsi na tom?",jason
STRM_M10v53,"Four, can you hear me?","Čtyřko, slyšíme se?",jason
STRM_M10v54,"Four, it's one! Are you there? It's weird.","Tak čtyřko, tady jednička! Jsi tam? To je divný.",jason
STRM_M10v55,,Asi někde sere.,jack
STRM_M10v56,,"Ježiši, spíš já se z vás poseru.\nJaký hlídají sektor?",hatton
STRM_M10v57,Dee.,Déčko.,jason
STRM_M10v58,"Ok, then let's check it out.","Ok, tak se tam pojedem podívat.",hatton


STRM_M10v59,I hope the bloomer didn't forget as one uses the communication.,"Doufám, že ten blbec nezapomněl, jak se používá vysílačka.",mike

STRM_M10v60,"Hey, that's Billy! Billy!","Hele, to je Billy! Billy!",jason
STRM_M10v61,,"Kurva, to je dost, že jdete!",billy
STRM_M10v62,What hapenned?,Co se stalo?,jason
STRM_M10v63,Someone shot on us... they... they've break off our frecvency and communication.,Někdo na nás střílel... oni... oni nabourali se na naší frekvenci a zkurvili nám spojení.,billy
STRM_M10v64,Who? Russians? And what hapenned to the others?,Kdo? Rusáci? A co se stalo s ostatníma?,hatton
STRM_M10v65,They're still there... the guys... they looked like a commando...\nI... I runned for help and now you're here and...,"Ostatní tam ještě jsou... ti chlapi... vypadali, jako nějaké komando...\njá... utíkal jsem pro pomoc a teď jste tu vy a...",billy
STRM_M10v66,"Fuck, it might be SpetzNatz... there it is.\nOk, let's do this way. Jason, stay with Gill here and call the base to send reinforcements.\nMeanwhle check the area and find the others patrols.","Do hajzlu, to budou SpetzNatz... a je to tu.\nDobře, takže uděláme to takhle. Jasone, zůstaňte tady s Gillem a zavolejte na základnu, ať pošlou posily.\nMezitím prohledejte oblast a vyhledejte ostatní hlídky.",hatton
STRM_M10v67,You two guys with me. Let's get this over with.,Vy dva pánové pojďte se mnou. Pojedeme se tam podívat.,hatton



STRM_M10r01,THIS IS PATROL 15. THE CHANGING SHIFT WITH NO PROBLEMS. OUT.,HLÍDKA 15. STŘÍDÁNÍ STRÁŽÍ PROBĚHLO BEZ PROBLÉMŮ. KONEC.,guard

STRM_M10r02,"PAPA BEAR, THIS IS GUARD 6! COORDINATES BJ39 ARE UNDER ATTACK! A SAY AGAIN! BJ39 UNDER ATACK! SEND REINFORCEMENTS, OVER!","MEDVĚDE, TADY HLÍDKA 6! SOUŘADNICE BJ39 JSOU POD ÚTOKEM! OPAKUJI! SOUŘADNICE BJ39 POD ÚTOKEM! POŠLETE POSILY, PŘEPÍNÁM!",jason
STRM_M10r03,"COPY THAT, SIX. THE REINFORCEMENTS ARE ON THEIR WAY. HOLD ON, OUT.","ROZUMÍM, ŠESTKO. POSILY JSOU NA CESTĚ. DRŽTE SE, KONEC.",papa
STRM_M10r04,PATROL 20. WE GOT THE SAME THING.,HLÍDKA 20. MÁME TO TU TO SAMÝ.,guard
STRM_M10r05,"14, TOO.","ČTRNÁCTKA, TAKY.",guard
STRM_M10r06,"9, HELP!","DEVÍTKA, POMOC!.",guard
STRM_M10r07,"JUST ALL OF US, FUCK. BEAR, IT'S HOT! THE SMOKE IS EVERYWHERE, I CAN SEE NOTHING, HELP US!","PROSTĚ VŠICHNI, KURVA! MEDVĚDE, JE TU PĚKNÝ HORKO, VŠUDE JE KOUŘ, NIC NEVIDÍM, POMOZTE NÁM!",guard
STRM_M10r08,,"TÁTA MEDVĚD VŠEM, JE TO TADY! VYHLAŠUJI BOJOVOU POHOTOVOST. TOTO NENÍ CVIČENÍ. OPAKUJI, TOTO NENÍ CVIČENÍ! VŠICHNI MUŽI AŤ SE PŘIPRAVÍ. VÁLKA ZAČALA, HOŠI. BITVA O PEARL HARBOR SE OPAKUJE. BOHUŽEL. DRŽTE SE, VOJÁCI. TÁTA MEDVĚD, KONEC.",papa
STRM_M10r09,"HATTON, THERE IS SCACHEL OVER THERE, GET OUT OF HERE!","HATTONE, JE TAM NÁLOŽ, ODJEĎTE S TÍM KRÁMEM!",guard
STRM_M10r10,"FUCK, IT WAS TIGHT.",TO BYLO O FOUS.,hatton
STRM_M10r11,THEY'VE BRAKEN DOWN IN SECTOR C! FUCK!,V SEKTORU C PROLOMILI! KURVA!,guard
STRM_M10r12,"GODDAMMINT, SECTOR B IS LOST.","SAKRA, SEKTOR B JE ZTRACEN.",guard

STRM_M10r13,"BEAR, THIS IS DEE. IT LOOKS, LIKE IT'S CLEAR. WE'RE WAITING FOR NEXT ORDERS, OUT.","MEDVĚDE, TADY DÉČKO. VYPADÁ TO, ŽE JE TO TU ČISTÝ. ČEKÁME NA DALŠÍ ROZKAZY, KONEC.",jason
STRM_M10r14,"RESCUE, FINALLY!","KONEČNĚ, ZÁCHRANA!",guard
STRM_M10r15,,"NE TAK RYCHLE, HOŠI. POSILY JSOU TEPRVE NA CESTĚ. JE JEN NA NÁS, JESTLI SE TU UDRŽÍME DO JEJICH PŘÍJEZDU.",hatton
STRM_M10r16,SPETNATZ HAVE DESTROYED OUR MACHINES. THERE IS JUST REST OF THEM HERE.,SPETZNATZ NÁM ODPÁLILI NAŠE STROJE. ZBYLO JENOM PÁR OBRNĚNCŮ.,guard
STRM_M10r17,,TAK TOHO VYUŽIJEM.,HATTON

STRM_M10a3,,"Kurva, vždyť jedu úplně někam do prdele. Musím to otočit.",paul



STRMM_01,Jason's patrol,Jasonova hlídka,marker

STRMW_01,Check the patrol,ZKONTROLUJTE HLÍDKU,waypoint
